nombre;lon;lat;unidades
Isla del Cerrito;-586.805.128.113.911;-27.304.202.864.253; 227,43   
Isla Verde;-624.029.816.960.788;-332.384.139.982.863; 229,71   
It«≠ Ibat«∏;-573.645.741.822.866;-275.323.131.432.038; 232,00   
Itacaruar«∏;-552.793.085.457.893;-278.358.055.260.116; 234,32   
Ital«¸;-637.809.993.095.979;-347.873.745.654.291; 236,67   
Itat«;-58.049.370.460.985;-27.344.044.899.998; 239,03   
Ituzaing«¸;-586.887.583.352.667;-346.360.018.167.543; 241,42   
Ituzaing«¸;-569.170.242.560.003;-279.679.022.751.887; 243,84   
Ituzaing«¸;-611.425.699.547.603;-308.148.965.134.573; 246,28   
J«≠chal;-684.412.683.481.452;-303.550.759.493.247; 248,74   
Jacinto Arauz;-634.812.273.049.458;-382.691.742.864.471; 251,23   
Jacinto L. Arauz;-609.560.890.781.576;-307.206.002.392.582; 253,74   
James Craik;-63.461.439.214.356;-321.653.801.707.883; 256,28   
Jard«n Am«∏rica;-551.946.087.942.069;-270.873.119.097.214; 258,84   
Jes«ßs Mar«a;-641.282.788.962.145;-309.830.362.325.549; 261,43   
Joaqu«n V. Gonz«≠lez;-636.538.145.950.214;-24.792.347.642.004; 264,04   
Jos«∏ C. Paz;-587.776.710.941.743;-345.118.758.903.445; 266,68   
Jos«∏ de San Mart«n;-704.638.843.298.773;-440.515.049.815.562; 269,35   
Jose Rafael Gomez;-558.400.035.689.311;-28.194.043.372.691; 272,04   
Josefina;-619.786.523.589.758;-313.919.642.706.151; 274,76   
Jovita;-639.431.016.058.546;-345.175.313.443.449; 277,51   
Juan Bernab«∏ Molina;-604.979.236.942.087;-335.272.345.570.571; 280,29   
Juan de Garay;-616.631.398.799.138;-296.658.869.843.342; 283,09   
Juan Jorba;-652.726.607.834.124;-336.151.941.989.638; 285,92   
Juan Jos«∏ Castelli;-606.640.706.206.378;-259.166.159.135.438; 288,78   
Juan Llerena;-65.648.344.957.264;-332.835.609.428.488; 291,67   
Juan Pujol;-578.889.139.828.733;-303.777.496.827.949; 294,58   
Juana Koslay;-662.274.958.520.562;-332.951.079.835.674; 297,53   
Jun«n;-684.803.420.038.399;-331.462.075.241.433; 300,50   
Jun«n;-610.054.940.705.488;-34.546.128.336.039; 303,51   
Jun«n de los Andes;-710.997.656.206.867;-399.210.969.926.669; 306,54   
Juncal;-610.938.153.477.268;-337.131.345.050.997; 309,61   
Justiniano Posse;-626.803.137.738.942;-32.885.115.618.459; 312,71   
Justo Daract;-651.869.760.029.057;-33.858.645.814.515; 315,83   
Kil«¸metro 658;-635.309.336.677.359;-313.696.370.548.369; 318,99   
La Adela;-641.118.204.002.918;-387.835.189.351.641; 322,18   
La Batea;-652.680.800.032.816;-304.282.384.273.219; 325,40   
La Brava;-601.771.440.738.208;-304.026.156.236.651; 328,66   
La Cabral;-612.028.509.551.793;-300.987.794.685.868; 331,94   
La Caldera;-653.618.587.786.935;-245.621.288.281.222; 335,26   
La Calera;-643.737.475.437.181;-313.267.269.836.109; 338,62   
La Calera;-668.428.577.544.769;-328.772.165.561.097; 342,00   
La Camila;-606.203.124.846.114;-300.720.725.812.595; 345,42   
La Candelaria;-650.289.418.135.703;-261.388.785.962.188; 348,88   
La Carlota;-632.963.774.632.446;-334.137.059.352.071; 352,37   
"La Carolina ""El Potosi""";-647.267.491.840.149;-331.890.811.194.128; 355,89   
La Cautiva;-640.855.019.234.334;-339.820.493.176.756; 359,45   
La Cesira;-629.759.295.184.544;-339.522.414.433.712; 363,04   
La Chispa;-619.638.069.432.744;-33.541.936.744.233; 366,67   
La Clotilde;-606.807.380.504.204;-271.657.262.689.173; 370,34   
La Costa;-567.189.105.106.819;-366.782.018.340.746; 374,04   
La Criolla;-605.141.584.435.544;-302.005.196.599.268; 377,78   
La Cruz;-56.921.169.074.054;-289.102.471.314.715; 381,56   
La Cruz;-644.805.613.408.482;-323.103.751.578.826; 385,38   
La Cumbre;-645.043.560.850.964;-30.974.262.164.548; 389,23   
La Cumbrecita;-647.864.838.705.701;-318.983.867.615.394; 393,12   
La Eduvigis;-589.364.657.658.412;-267.315.607.830.315; 397,05   
La Escondida;-594.870.735.247.903;-270.965.245.522.956; 401,02   
La Esperanza;-647.720.910.953.121;-242.041.715.000.581; 405,04   
La Esperanza;-652.961.130.854.135;-266.643.429.705.533; 409,09   
La Falda;-645.246.847.485.322;-311.037.750.919.779; 413,18   
La Florida y Luisiana;-650.493.432.281.003;-268.110.760.530.452; 417,31   
La Francia;-626.361.489.012.367;-314.046.082.891.522; 421,48   
La Gallareta;-607.347.043.825.011;-295.313.278.795.499; 425,70   
La Granja;-642.753.880.432.833;-310.000.989.874.002; 429,95   
La Higuera;-651.033.033.166.762;-310.154.711.503.327; 434,25   
La Humada;-679.743.018.865.441;-363.956.465.607.269; 438,59   
La Laguna;-632.462.465.865.663;-328.019.955.201.198; 442,98   
La Leonesa;-588.471.497.244.523;-269.919.281.600.835; 447,41   
La Lucila;-610.007.033.082.147;-303.822.950.763.987; 451,88   
La Maruja;-65.003.853.923.457;-356.516.430.074.803; 456,40   
La Matanza;-58.625.448.693.896;-347.701.647.288.425; 460,97   
La Mendieta;-650.074.267.062.509;-242.955.921.038.521; 465,58   
La Merced;-653.904.542.120.284;-250.395.625.548.901; 470,23   
La Paisanita;-644.786.608.714.555;-316.984.186.695.999; 474,94   
La Palestina;-634.099.507.025.161;-326.146.851.668.886; 479,68   
La Pampa;-642.677.377.008.499;-309.460.219.430.716; 484,48   
La Paquita;-62.215.044.195.689;-309.068.096.845.912; 489,33   
La Para;-629.963.436.299.142;-308.971.059.716.298; 494,22   
La Paz;-672.475.409.227.544;-337.114.684.971.789; 499,16   
La Paz;-650.934.018.857.064;-322.557.108.768.274; 504,15   
La Pelada;-60.933.499.697.792;-308.628.913.365.674; 509,20   
La Penca y Caraguat«≠;-605.682.573.680.084;-303.232.009.328.101; 514,29   
La Plata;-580.180.274.991.075;-350.034.938.071.388; 519,43   
La Playa;-653.481.568.256.985;-30.949.151.048.657; 524,62   
La Playosa;-630.325.027.208.143;-320.989.683.198.623; 529,87   
La Poblaci«¸n;-649.970.015.769.107;-320.779.893.265.375; 535,17   
La Poma;-662.073.026.200.224;-241.468.742.630.428; 540,52   
La Posta;-635.150.983.800.264;-305.684.483.421.589; 545,93   
La Puerta;-658.053.978.996.787;-281.588.888.812.784; 551,39   
La Puerta;-632.544.937.671.195;-308.889.405.990.295; 556,90   
La Punilla;-651.122.602.148.508;-331.261.155.349.737; 562,47   
La Punta;-663.583.807.823.884;-331.753.715.269.425; 568,09   
La Quiaca;-656.497.996.902.659;-221.475.151.640.073; 573,77   
La Quinta;-631.503.504.553.572;-310.758.714.912.754; 579,51   
La Ramada y la Cruz;-64.903.340.015.279;-266.769.926.256.373; 585,31   
La Rancherita;-644.614.102.717.181;-31.755.784.835.336; 591,16   
La Reforma;-662.286.938.603.008;-374.347.070.443.003; 597,07   
La Rinconada;-629.334.837.181.419;-301.602.808.580.713; 603,04   
La Rubia;-617.593.031.348.436;-300.973.769.833.224; 609,07   
La Sarita;-598.866.792.710.683;-289.623.862.902.099; 615,16   
La Serranita;-644.617.824.313.022;-317.411.366.811.169; 621,31   
La Tigra;-606.148.397.314.775;-27.083.494.928.219; 627,53   
La Toma;-656.356.268.275.324;-33.046.653.227.084; 633,80   
La Tordilla;-630.622.120.893.958;-312.431.510.613.549; 640,14   
La Vanguardia;-607.050.628.777.746;-333.649.961.070.119; 646,54   
La Verde;-593.269.273.302.486;-270.720.366.577.963; 653,01   
La Vi«Òa;-656.768.022.184.739;-255.361.582.471.498; 659,54   
L«¸pez;-612.823.619.602.878;-318.789.098.537.191; 666,13   
Laborde;-628.591.932.549.994;-331.508.319.281.254; 672,79   
Labordeboy;-612.931.820.872.951;-337.187.441.454.908; 679,52   
Laboulaye;-633.878.358.370.211;-341.281.097.677.491; 686,32   
Lafinur;-65.348.168.405.395;-320.859.055.469.255; 693,18   
Lago Blanco;-712.821.431.559.325;-459.334.874.892.864; 700,11   
Lago Puelo;-715.667.357.457.431;-420.304.764.901.391; 707,11   
Laguna Blanca;-591.912.791.042.958;-27.226.920.353.194; 714,19   
Laguna Blanca;-582.696.808.211.217;-251.115.621.017.336; 721,33   
Laguna Blanca;-697.256.094.720.868;-407.601.302.402.642; 728,54   
Laguna Larga;-637.859.839.452.442;-317.757.220.077.539; 735,83   
Laguna Limpia;-596.828.098.647.245;-264.164.829.629.715; 743,18   
Laguna Naik Neck;-581.204.495.394.708;-252.202.162.074.097; 750,62   
Laguna Paiva;-606.655.561.130.064;-313.039.882.761.946; 758,12   
Laguna Yema;-612.514.099.326.242;-242.842.405.514.177; 765,70   
Lagunita Salada;-691.757.884.059.083;-427.651.335.003.203; 773,36   
Lamadrid;-65.185.126.168.893;-276.581.361.187.059; 781,09   
Lamarque;-656.791.011.612.072;-393.988.847.133.038; 788,90   
Lan«ßs;-583.954.484.986.823;-347.057.824.914.421; 796,79   
Landeta;-620.700.498.805.094;-320.124.482.746.131; 804,76   
Lanteri;-596.773.729.365.482;-288.470.500.548.192; 812,81   
Lapachito;-594.682.527.193.081;-272.612.981.499.181; 820,94   
Laprida;-607.680.626.719.213;-375.155.525.089.772; 829,15   
Larrechea;-610.603.813.968.283;-319.329.952.644.909; 837,44   
Las Acequias;-639.782.972.324.101;-33.280.100.079.492; 845,81   
Las Aguadas;-655.009.524.526.763;-323.754.702.752.368; 854,27   
Las Albahacas;-648.169.079.716.602;-328.970.347.535.301; 862,81   
Las Arrias;-635.849.095.072.049;-303.900.762.225.366; 871,44   
Las Avispas;-612.758.383.362.576;-297.766.332.416.562; 880,16   
Las Bajadas;-643.402.635.611.922;-320.921.713.040.564; 888,96   
Las Bandurrias;-614.387.670.818.975;-32.142.287.742.811; 897,85   
Las Bre«Òas;-612.652.576.677.459;-269.455.386.976.542; 906,83   
Las Ca«Òadas;-647.644.259.351.544;-309.742.278.112.505; 915,89   
Las Caleras;-645.188.920.061.475;-324.017.331.649.058; 925,05   
Las Calles;-649.288.940.967.688;-318.359.492.924.172; 934,30   
Las Cejas;-647.959.865.771.321;-269.193.176.439.473; 943,65   
Las Chacras;-657.796.055.226.069;-325.633.795.921.196; 953,08   
Las Coloradas;-705.825.186.548.069;-396.076.912.118.787; 962,61   
Las Flores;-591.769.657.671.576;-360.157.017.377.305; 972,24   
Las Garcitas;-597.788.567.014.564;-266.232.885.192.826; 981,96   
Las Garzas;-593.466.108.834.929;-288.485.702.161.712; 991,78   
Las Gramillas;-63.266.471.175.762;-31.136.159.229.424; 1.001,70   
Las Heras;-692.671.757.239.401;-325.247.668.775.426; 1.011,72   
Las Higueras;-642.944.375.380.398;-331.041.248.833.881; 1.021,83   
Las Isletillas;-639.294.208.789.592;-325.081.704.675.122; 1.032,05   
Las Juntas;-659.674.435.724.261;-28.051.848.407.473; 1.042,37   
Las Junturas;-634.501.240.234.635;-31.829.574.096.629; 1.052,80   
Las Lagunas;-655.479.977.710.782;-326.286.670.748.448; 1.063,32   
Las Lajas;-703.064.166.225.065;-385.447.244.406.764; 1.073,96   
Las Lajitas;-645.809.409.708.697;-249.101.681.976.984; 1.084,70   
Las Lomitas;-60.598.287.756.527;-247.102.155.246.944; 1.095,54   
Las Ovejas;-709.180.527.399.826;-368.419.567.404.506; 1.106,50   
Las Palmas;-586.766.006.044.424;-271.249.377.281.009; 1.117,56   
Las Palmas;-653.329.790.750.063;-313.748.540.741.686; 1.128,74   
Las Palmeras;-616.225.654.624.814;-306.283.200.044.766; 1.140,03   
Las Parejas;-615.805.144.134.391;-326.475.570.583.936; 1.151,43   
Las Pe«Òas;-640.024.875.130.835;-305.554.859.462.905; 1.162,94   
Las Pe«Òas Sud;-641.083.139.877.237;-325.334.055.082.122; 1.174,57   
Las Perdices;-637.067.140.965.955;-32.698.989.840.824; 1.186,32   
Las Petacas;-621.471.490.403.629;-318.169.411.699.257; 1.198,18   
Las Playas;-648.512.005.429.178;-307.125.399.415.491; 1.210,16   
Las Plumas;-672.925.930.651.808;-437.137.219.194.695; 1.222,26   
Las Rabonas;-649.489.427.851.813;-318.709.623.753.909; 1.234,49   
Las Rosas;-616.293.536.644.398;-324.624.669.041.901; 1.246,83   
Las Saladas;-632.043.193.813.076;-307.601.509.435.353; 1.259,30   
Las Talas;-652.797.471.487.476;-270.029.638.345.194; 1.271,89   
Las Tapias;-651.083.345.433.486;-319.439.409.128.127; 1.284,61   
Las Toscas;-592.487.181.017.623;-283.336.988.041.536; 1.297,46   
Las Tunas;-610.124.260.255.542;-315.694.628.868.887; 1.310,43   
Las Varas;-626.189.189.981.065;-318.037.220.327.542; 1.323,54   
Las Varillas;-627.085.088.077.584;-318.753.386.744.317; 1.336,77   
Las Vertientes;-645.798.008.584.753;-332.821.528.731.581; 1.350,14   
Las Vertientes;-657.509.326.074.955;-327.905.137.799.324; 1.363,64   
Lavaisse;-654.243.757.203.361;-338.228.631.592.664; 1.377,28   
Lavalle;-678.890.727.049.671;-32.582.585.367.751; 1.391,05   
Lavalle;-591.722.758.591.832;-290.283.437.433.335; 1.404,96   
Lazzarino;-624.179.437.231.131;-342.381.337.496.838; 1.419,01   
Leandro N. Alem;-553.300.134.627.001;-276.166.283.094.589; 1.433,20   
Leandro N. Alem;-616.129.309.245.572;-34.497.956.349.747; 1.447,53   
Leandro N. Alem;-660.526.110.100.643;-324.861.654.411.151; 1.462,01   
Leguizam«¸n;-629.791.788.265.997;-3.420.479.128.376; 1.476,63   
Lehmann;-614.334.542.945.861;-311.262.157.668.969; 1.491,39   
Leon Rouges y Santa Rosa;-655.046.906.941.058;-27.221.224.021.688; 1.506,31   
Leones;-622.977.757.843.412;-326.533.880.566.012; 1.521,37   
Leoni;-551.380.752.661.386;-269.961.973.424.163; 1.536,59   
Lezama;-5.789.575.256.553;-358.494.190.496.267; 1.551,95   
Libertad;-544.206.259.685.073;-258.492.622.245.534; 1.567,47   
Libertador General San Mart«n;-648.514.667.116.432;-238.316.438.581.042; 1.583,15   
Limay Mahuida;-666.447.934.382.331;-371.076.410.505.622; 1.598,98   
Lincoln;-616.827.618.200.122;-35.070.384.883.326; 1.614,97   
Llambi Campbell;-606.962.038.548.563;-311.753.913.273.892; 1.631,12   
Lober«a;-586.939.656.644.915;-380.897.033.467.581; 1.647,43   
Lobos;-591.458.071.242.931;-352.195.598.528.609; 1.663,90   
Logro«Òo;-61.682.138.557.393;-294.703.549.874.942; 1.680,54   
Loma Alta;-611.810.300.098.937;-3.194.747.689.208; 1.697,35   
Lomas de Vallejos;-580.258.178.848.756;-277.436.198.256.324; 1.714,32   
Lomas de Zamora;-584.240.829.326.534;-347.554.643.393.452; 1.731,46   
Loncopu«∏;-706.070.114.096.582;-38.130.763.669.743; 1.748,78   
Londres;-671.506.538.679.793;-278.537.703.637.583; 1.766,27   
Lonquimay;-63.637.667.725.147;-364.918.397.041.486; 1.783,93   
Loreto;-572.388.186.771.618;-27.665.014.781.303; 1.801,77   
Loreto;-555.127.073.353.104;-273.567.760.317.075; 1.819,79   
Los Altares;-68.439.661.239.644;-438.915.368.579.323; 1.837,98   
Los Altos;-654.509.018.337.532;-280.392.957.521.347; 1.856,36   
Los Amores;-602.372.304.630.706;-281.216.709.408.038; 1.874,93   
Los Bulacios y los Villagras;-65.207.750.805.092;-269.807.172.537.575; 1.893,68   
Los C«¸ndores;-642.631.745.771.009;-322.941.267.136.032; 1.912,61   
Los Cardos;-616.082.113.537.085;-323.164.649.854.341; 1.931,74   
Los Catutos;-701.262.364.173.042;-388.289.996.373.229; 1.951,06   
Los Cedros;-642.883.373.164.957;-315.311.757.876.478; 1.970,57   
Los Cerrillos;-654.006.487.224.588;-31.949.964.905.103; 1.990,27   
Los Cha«Òaritos;-649.612.218.742.981;-305.735.504.195.722; 2.010,17   
Los Cha«Òaritos (C.D. Eje);-633.341.908.709.153;-314.014.391.052.477; 2.030,28   
Los Chihuidos;-695.338.451.224.223;-380.504.241.884.088; 2.050,58   
Los Chiriguanos;-614.734.537.946.001;-241.062.577.355.998; 2.071,09   
Los Cisnes;-634.708.798.480.832;-333.762.768.113.126; 2.091,80   
Los Cocos;-645.025.995.122.289;-309.267.368.141.278; 2.112,71   
Los Frentones;-614.747.819.966.242;-26.037.315.456.976; 2.133,84   
Los Gomez;-651.916.387.595.683;-273.059.495.637.553; 2.155,18   
Los Helechos;-550.593.874.576.337;-275.706.570.338.854; 2.176,73   
Los Hornillos;-649.874.489.410.362;-318.985.332.069.954; 2.198,50   
Los Hoyos;-636.266.756.739.874;-297.848.497.549.882; 2.220,48   
Los Laureles;-596.869.269.518.745;-293.713.409.435.325; 2.242,69   
Los Menucos;-680.873.726.971.184;-408.262.504.342.814; 2.265,12   
Los Miches;-709.641.103.407.799;-371.472.111.349.999; 2.287,77   
Los Mistoles;-638.831.334.918.174;-30.626.345.939.801; 2.310,64   
Los Molinos;-61.351.566.112.883;-330.630.760.180.591; 2.333,75   
Los Molinos;-643.791.077.708.501;-318.565.529.914.794; 2.357,09   
Los Molles;-649.990.072.643.336;-324.541.506.828.014; 2.380,66   
Los Nogales;-652.072.319.242.308;-266.961.551.758.077; 2.404,47   
Los Pereyras;-648.560.919.370.471;-27.006.849.550.652; 2.428,51   
Los Perez;-649.084.266.828.363;-268.256.121.642.019; 2.452,80   
Los Pozos;-642.649.072.173.164;-305.184.524.118.584; 2.477,32   
Los Puestos;-650.372.047.995.846;-27.307.109.503.708; 2.502,10   
Los Quirquinchos;-617.157.535.227.622;-333.121.265.044.986; 2.527,12   
Los Ralos;-649.494.845.475.381;-269.077.273.561.348; 2.552,39   
Los Reartes;-645.898.352.613.713;-319.153.125.304.694; 2.577,91   
Los Sarmiento y la Tipa;-657.026.761.989.972;-274.080.309.175.109; 2.603,69   
Los Sosa;-656.041.994.521.831;-27.051.330.314.524; 2.629,73   
Los Surgentes;-620.146.845.594.701;-329.743.449.135.051; 2.656,03   
Los Talares;-650.582.614.564.783;-314.025.933.536.005; 2.682,59   
Los Toldos;-646.575.099.735.318;-224.689.957.526.384; 2.709,41   
Los Varela;-659.246.262.281.669;-278.547.966.718.317; 2.736,51   
Los Zorros;-632.063.904.788.812;-320.450.607.687.749; 2.763,87   
Loventu«∏;-652.508.938.793.726;-361.713.696.479.035; 2.791,51   
Lozada;-64.093.711.769.734;-316.546.099.199.271; 2.819,42   
Luan Toro;-650.217.182.225.344;-36.244.121.325.494; 2.847,62   
Luca;-634.773.914.681.508;-325.401.247.632.302; 2.876,10   
Lucio V. L«¸pez;-610.737.388.987.249;-327.559.630.469.566; 2.904,86   
Lucio V. Mansilla;-646.680.541.082.337;-297.949.326.862.785; 2.933,90   
Luis Beltran;-657.874.879.345.286;-393.096.814.687.974; 2.963,24   
Luis Palacios;-609.575.837.839.017;-327.771.413.141.655; 2.992,88   
Luj«≠n;-591.585.123.543.241;-345.676.194.636.906; 3.022,81   
Luj«≠n de Cuyo;-694.437.142.136.648;-330.382.520.812.749; 3.053,03   
Lujan;-659.357.732.042.101;-32.365.000.181.113; 3.083,56   
Luque;-633.411.184.061.502;-316.466.335.826.392; 3.114,40   
Lutti;-647.377.888.610.421;-323.065.734.326.664; 3.145,54   
Luyaba;-650.741.168.663.064;-321.482.687.509.277; 3.177,00   
M9Ximo Paz;-609.632.294.864.284;-33.504.662.902.307; 3.208,77   
M«≠rtires;-553.818.743.554.229;-274.192.742.863.885; 3.240,86   
Macach«n;-636.943.937.231.621;-371.229.550.530.837; 3.273,26   
Machagai;-600.187.650.882.889;-268.190.200.565.021;110
Maciel;-609.354.621.768.291;-324.308.360.057.879; 111,10   
Magdalena;-576.863.916.153.998;-351.849.498.630.336; 112,21   
Maggiolo;-622.594.730.717.287;-337.396.897.872.561; 113,33   
Maimar«≠;-654.364.492.243.533;-236.423.715.717.053; 114,47   
Mainque;-673.191.257.956.811;-388.398.592.335.241; 115,61   
Maip«ß;-575.861.731.541.635;-368.865.728.370.606; 116,77   
Maip«ß;-686.521.739.904.164;-329.775.099.458.466; 117,93   
Maisonnave;-644.002.912.370.171;-350.449.274.835.385; 119,11   
Makall«∏;-592.318.224.474.402;-271.135.329.362.586; 120,31   
Malabrigo;-599.197.683.451.083;-293.304.443.850.771; 121,51   
Malague«Òo;-64.396.789.360.534;-314.598.780.400.586; 122,72   
Malarg«¨e;-693.135.099.463.235;-361.572.730.441.954; 123,95   
Malena;-644.317.442.961.675;-334.904.506.753.776; 125,19   
Malvinas Argentinas;-587.121.329.971.982;-344.873.038.284.663; 126,44   
Malvinas Argentinas;-640.104.566.694.891;-313.908.457.182.217; 127,71   
Mamuel Choique;-701.233.351.467.106;-417.859.281.548.501; 128,98   
Manfredi;-637.430.657.929.285;-318.442.770.336.696; 130,27   
Manuel Garcia Fernandez;-652.814.079.053.137;-269.597.071.072.569; 131,58   
Manuela Pedraza;-653.304.642.435.191;-272.416.094.725.294; 132,89   
Manzano Amargo;-708.071.507.874.932;-366.887.545.268.274; 134,22   
Maquinchao;-68.686.482.506.314;-412.407.347.869.401; 135,56   
Maquinista Gallini;-635.346.280.358.157;-309.181.978.256.885; 136,92   
Mar Chiquita;-576.436.183.313.312;-374.984.341.236.931; 138,29   
Mar«a Juana;-617.508.020.504.526;-316.755.447.810.504; 139,67   
Mar«a Luisa;-608.916.036.081.998;-310.187.839.005.544; 141,07   
Mar«a Susana;-619.232.689.133.243;-322.567.152.780.579; 142,48   
Mar«a Teresa;-619.128.668.122.658;-340.395.665.841.678; 143,90   
Marcelino Escalada;-604.264.245.992.866;-306.080.397.945.225; 145,34   
Marcos Ju«≠rez;-621.053.184.551.732;-326.834.634.699.151; 146,80   
Marcos Paz;-588.480.634.347.315;-348.137.199.832.046; 148,26   
Margarita;-601.474.618.870.776;-297.499.448.234.922; 149,75   
Margarita Bel«∏n;-59.019.408.196.902;-270.890.008.584.069; 151,24   
Mariano I. Loza;-581.655.471.661.198;-293.427.621.035.549; 152,76   
Mariano Moreno;-700.160.273.047.475;-387.687.927.342.046; 154,28   
Marull;-628.244.615.926.655;-309.962.750.605.161; 155,83   
Matilde;-610.206.835.646.198;-317.909.169.859.257; 157,38   
Matorrales;-635.124.530.187.689;-317.149.605.696.137; 158,96   
Mattaldi;-641.779.147.615.068;-344.853.031.976.435; 160,55   
Maua;-612.600.717.296.399;-30.775.467.744.443; 162,15   
Mauricio Mayer;-640.688.110.278.832;-36.235.789.641.195; 163,78   
Mayor Vicente E. Villafa«Òe;-590.807.489.037.343;-262.043.809.484.768; 165,41   
Mayu Sumaj;-64.549.632.214.915;-314.660.174.565.973; 167,07   
Mburucuy«≠;-58.185.562.449.908;-280.163.816.801.489; 168,74   
Media Naranja;-649.392.510.631.274;-306.312.650.658.571; 170,42   
Medina;-655.446.199.318.525;-273.896.378.313.012; 172,13   
Melincu«∏;-614.800.391.616.203;-336.716.299.274.826; 173,85   
Melo;-634.365.776.529.174;-343.493.518.732.702; 175,59   
Mencuen;-695.866.017.327.969;-402.923.882.541.388; 177,34   
Mendiolaza;-642.848.467.061.892;-312.585.432.498.765; 179,12   
Mercedes;-577.596.459.149.959;-290.543.617.301.547; 180,91   
Mercedes;-5.942.081.198.401;-346.971.944.325.993; 182,72   
Merlo;-587.418.777.656.329;-347.108.867.791.705; 184,55   
Merlo;-650.070.214.618.305;-323.529.400.330.367; 186,39   
Met«≠n;-64.976.719.143.493;-255.135.434.924.208; 188,26   
Metileo;-639.455.158.938.857;-358.187.533.133.228; 190,14   
Mi Granja;-639.790.002.860.052;-313.275.574.709.174; 192,04   
Miguel Can«∏;-635.209.715.100.294;-361.708.849.475.111; 193,96   
Miguel Riglos;-637.976.877.058.673;-368.320.346.409.974; 195,90   
Miguel Torres;-614.455.173.944.434;-335.358.302.476.391; 197,86   
Mina Clavero;-64.914.550.316.223;-316.760.818.624.427; 199,84   
Mina Pirquitas;-666.315.369.299.641;-22.719.297.663.966; 201,84   
Ministro Ramos Mexia;-67.256.338.467.348;-404.883.111.469.266; 203,85   
Miraflores;-610.371.403.012.266;-254.782.409.210.673; 205,89   
Miramar;-626.691.619.837.422;-309.171.637.587.504; 207,95   
Misi«¸n Nueva Pompeya;-615.529.901.499.502;-249.918.396.458.623; 210,03   
Misi«¸n San Francisco de Laish«;-586.312.572.039.416;-262.415.655.637.697; 212,13   
Misi«¸n Taacagl«∏;-588.239.429.494.864;-249.729.365.739.169; 214,25   
Mocoret«≠;-579.576.529.352.177;-305.488.011.628.987; 216,39   
Mois«∏s Ville;-614.705.123.255.217;-30.631.383.349.572; 218,56   
Moj«¸n Grande;-551.202.260.917.369;-277.257.081.241.474; 220,74   
Molinos;-664.900.375.368.787;-256.051.411.736.222; 222,95   
Monigotes;-616.110.098.359.563;-305.069.495.186.875; 225,18   
Monje;-608.606.974.317.873;-323.305.490.258.157; 227,43   
Monte;-587.694.635.013.319;-355.103.702.936.319; 229,71   
Monte Bello;-658.621.732.548.063;-274.152.129.708.517; 232,00   
Monte Buey;-624.531.499.125.634;-329.169.889.907.274; 234,32   
Monte Caseros;-578.245.096.673.467;-301.816.229.638.282; 236,67   
Monte Cristo;-639.009.959.981.404;-313.145.501.675.443; 239,03   
Monte de los Gauchos;-639.021.542.900.956;-33.636.040.233.796; 241,42   
Monte Hermoso;-612.904.738.793.276;-3.896.257.223.668; 243,84   
Monte Le«Òa;-625.887.953.092.074;-326.073.407.618.879; 246,28   
Monte Ma«z;-626.035.104.209.721;-332.059.969.112.394; 248,74   
Monte Nievas;-641.173.404.843.675;-358.739.584.862.966; 251,23   
Monte Oscuridad;-620.529.528.019.119;-304.620.268.964.847; 253,74   
Monte Ralo;-642.355.903.371.877;-319.160.854.413.818; 256,28   
Monte Vera;-606.571.879.491.945;-31.521.606.263.408; 258,84   
Monteagudo;-651.747.080.169.836;-274.867.120.823.322; 261,43   
Montecarlo;-545.625.759.117.353;-26.639.779.729.458; 264,04   
Montefiore;-618.792.620.133.021;-296.238.914.341.953; 266,68   
Monterrico;-651.355.981.658.048;-244.592.180.378.992; 269,35   
Montes de Oca;-617.894.896.795.213;-326.304.057.747.774; 272,04   
Mor«¸n;-586.198.433.488.168;-346.491.410.653.179; 274,76   
Moreno;-588.109.232.680.035;-34.610.617.117.824; 277,51   
Morrison;-628.337.927.569.311;-32.592.916.342.672; 280,29   
Morteros;-620.091.537.289.313;-307.117.689.159.368; 283,09   
Municipalidad de Aguilares;-656.284.335.564.001;-274.381.337.326.602; 285,92   
Municipalidad de Alderetes;-651.344.798.411.458;-267.920.185.258.273; 288,78   
Municipalidad de Banda del Rio Sali;-651.563.310.604.477;-268.676.751.675.854; 291,67   
Municipalidad de Bella Vista;-653.070.652.191.747;-270.635.317.509.637; 294,58   
Municipalidad de Burruyacu;-647.366.427.741.997;-264.603.848.527.914; 297,53   
Municipalidad de Concepcion;-656.126.988.414.032;-273.447.468.902.027; 300,50   
Municipalidad de Famailla;-654.724.587.727.599;-269.787.072.041.791; 303,51   
Municipalidad de Graneros;-654.261.125.358.138;-276.458.539.748.406; 306,54   
Municipalidad de Juan Bautista Alberdi;-656.157.736.434.403;-275.899.081.064.152; 309,61   
Municipalidad de la Cocha;-655.855.256.050.922;-277.920.684.691.818; 312,71   
Municipalidad de las Talitas;-651.861.319.590.978;-267.625.280.421.749; 315,83   
Municipalidad de Lules;-653.408.692.819.985;-269.539.510.198.961; 318,99   
Municipalidad de Monteros;-654.729.583.478.233;-271.804.891.520.765; 322,18   
Municipalidad de San Miguel De Tucuman;-65.217.843.658.659;-268.339.544.139.899; 325,40   
Municipalidad de Simoca;-653.619.549.438.073;-272.583.551.857.273; 328,66   
Municipalidad de Tafi del Valle;-657.691.213.941.268;-268.032.952.032.499; 331,94   
